,brand,model,selling_price,km_driven,fuel,mileage,engine,seats,No_of_years
315,Hyundai,i20 1.2 Asta,254999,80000,Petrol,17.0,1197.0,5,13
316,Maruti,Zen LXI,65000,60000,Petrol,17.3,993.0,5,20
317,Maruti,Celerio LXI,351000,36000,Petrol,23.1,998.0,5,6
318,Toyota,Innova 2.5 V Diesel 8-seater,404000,120000,Diesel,12.8,2494.0,8,16
319,Maruti,Ritz LDi,185000,185000,Diesel,21.1,1248.0,5,12
320,Nissan,Micra Diesel XV,250000,50000,Diesel,23.08,1461.0,5,12
321,Maruti,Zen LXI,60000,100000,Petrol,17.3,993.0,5,21
322,Hyundai,Verna 1.6 SX VTVT (O),500000,50000,Petrol,17.1,1591.0,5,10
323,Maruti,Zen Estilo LXI BSIII,85000,80000,Petrol,18.2,998.0,5,16
324,Maruti,Alto LX,85000,80000,Petrol,19.7,796.0,5,18
325,Maruti,Swift Dzire ZDi,265000,90000,Diesel,19.3,1248.0,5,12
326,Maruti,A-Star Vxi,130000,162000,Petrol,19.0,998.0,5,13
327,Maruti,Ertiga VDI,480000,110000,Diesel,20.77,1248.0,7,10
328,Maruti,Swift Ldi BSIII,170000,120000,Diesel,17.8,1248.0,5,15
329,Nissan,Micra Diesel XV,275000,45000,Diesel,23.08,1461.0,5,12
330,Maruti,Wagon R LXI,89000,90000,Petrol,18.9,998.0,5,18
331,Ford,Figo Diesel Titanium,170000,90000,Diesel,20.0,1399.0,5,13
332,Mahindra,XUV300 W8 Option BSIV,1090000,16500,Petrol,17.0,1197.0,5,4
333,Hyundai,Creta 1.6 CRDi AT SX Plus,1100000,67000,Diesel,17.01,1582.0,5,6
334,Maruti,Swift VXI BSIV,610000,52000,Petrol,22.0,1197.0,5,5
335,Datsun,GO T Option BSIV,335000,40000,Petrol,20.63,1198.0,5,7
336,Hyundai,Grand i10 Asta,434999,40000,Petrol,18.9,1197.0,5,8
337,Toyota,Fortuner 2.8 2WD MT BSIV,3000000,35000,Diesel,14.24,2755.0,7,5
338,Renault,KWID RXL,390000,13000,Petrol,20.71,799.0,5,5
339,Honda,Brio 1.2 VX MT,325000,40000,Petrol,18.5,1198.0,5,11
340,Volkswagen,meo 1.2 MPI Comfortline Plus,640000,10000,Petrol,17.0,1198.0,5,4
341,Nissan,Sunny XV Special Edition,450000,9000,Petrol,16.95,1498.0,5,11
342,Toyota,Etios Liva GD SP,400000,70000,Diesel,23.59,1364.0,5,10
343,Hyundai,i10 Sportz,215000,60000,Petrol,20.36,1197.0,5,14
344,Renault,Duster 85PS Diesel RxL,570000,40000,Diesel,20.45,1461.0,5,9
345,Mahindra,XUV500 W8 2WD,680000,93000,Diesel,15.1,2179.0,7,11
346,Toyota,Innova 2.5 V Diesel 7-seater,325000,80000,Diesel,12.8,2494.0,7,15
347,Tata,Indigo CS eGLX BS IV,150000,50000,Petrol,15.64,1193.0,5,12
348,Hyundai,Elantra SX AT,690000,68000,Petrol,14.5,1797.0,5,10
349,Mercedes-Benz,New C-Class 220 CDI AT,1550000,25000,Diesel,14.84,2143.0,5,10
350,Tata,Nano STD,64000,18000,Petrol,25.4,624.0,4,11
351,Nissan,Micra Diesel XL,250000,120000,Diesel,23.08,1461.0,5,10
352,Maruti,Wagon R LXI,65000,35000,Petrol,18.9,998.0,5,18
353,Maruti,Swift Dzire VDI,550000,60000,Diesel,26.59,1248.0,5,7
354,Hyundai,i10 Magna,140000,70000,Petrol,20.36,1197.0,5,13
355,Renault,KWID RXT,300000,30000,Petrol,25.17,799.0,5,7
356,Volkswagen,TI 1.8 TSI,800000,70000,Petrol,16.34,1798.0,5,7
357,Jaguar,XE 2016-2019 2.0L Diesel Prestige,2625000,9000,Diesel,13.6,1999.0,5,6
358,Lexus,ES 300h,5150000,20000,Petrol,22.37,2487.0,5,4
359,Jaguar,XF 2.0 Diesel Portfolio,3200000,45000,Diesel,19.33,1999.0,5,6
360,Tata,Safari Storme EX,503000,110000,Diesel,14.1,2179.0,7,8
361,Volvo,XC40 D4 Inscription BSIV,3800000,20000,Diesel,18.0,1969.0,5,4
362,Toyota,Camry 2.5 Hybrid,2000000,68089,Petrol,19.16,2494.0,5,7
363,Maruti,Wagon R LXI,225000,58343,Petrol,21.79,998.0,5,10
364,Maruti,Baleno Alpha 1.3,740000,38817,Diesel,27.39,1248.0,5,5
365,Honda,Jazz VX,550000,56494,Petrol,18.2,1199.0,5,7
366,Toyota,Innova 2.5 VX (Diesel) 7 Seater,750000,79328,Diesel,12.99,2494.0,7,10
367,Maruti,Swift AMT VVT VXI,650000,5621,Petrol,22.0,1197.0,5,4
368,Toyota,Etios VX,625000,25538,Petrol,16.78,1496.0,5,6
369,Maruti,Swift AMT ZXI,600000,69779,Petrol,22.0,1197.0,5,5
370,Hyundai,Grand i10 1.2 CRDi Sportz,450000,56290,Diesel,24.0,1186.0,5,6
371,BMW,X4 M Sport X xDrive20d,5400000,7500,Diesel,16.78,1995.0,5,4
372,BMW,X4 M Sport X xDrive20d,5500000,8500,Diesel,16.78,1995.0,5,4
373,Honda,Amaze V CVT Petrol BSIV,779000,7032,Petrol,19.0,1199.0,5,4
374,Skoda,Rapid 1.6 MPI AT Elegance,645000,11000,Petrol,14.3,1598.0,5,7
375,Volvo,V40 D3 R-Design,2475000,2000,Diesel,16.8,1984.0,5,5
376,Hyundai,i10 Magna,150000,106000,Petrol,20.36,1197.0,5,13
377,Honda,CR-V 2.4L 4WD AT,500000,120000,Petrol,11.1,2354.0,5,14
378,Maruti,Swift Dzire VDI,480000,90000,Diesel,26.59,1248.0,5,8
379,Hyundai,Verna 1.6 SX CRDi (O),535000,70000,Diesel,22.32,1582.0,5,9
380,Toyota,Innova 2.5 G1 Diesel 8-seater,250000,240000,Diesel,12.8,2494.0,8,18
381,Maruti,SX4 Celebration Diesel,300000,100000,Diesel,21.5,1248.0,5,11
382,Hyundai,Verna XXi ABS (Petrol),340000,214000,Petrol,13.9,1599.0,5,14
383,Hyundai,Verna CRDi SX,340000,214000,Diesel,16.8,1493.0,5,14
384,Maruti,Alto 800 VXI,240000,50000,Petrol,22.74,796.0,5,7
385,Honda,City i-VTEC CVT V,1085000,1000,Petrol,18.0,1497.0,5,5
386,Maruti,Swift Dzire AMT VDI,750000,19000,Diesel,28.4,1248.0,5,6
387,Tata,Indigo LS,95000,265000,Diesel,17.0,1405.0,5,11
388,Maruti,Eeco CNG 5 Seater AC,409999,35000,CNG,20.88,1196.0,5,3
389,Maruti,Alto K10 VXI,215000,80000,Petrol,23.95,998.0,5,9
390,Mahindra,XUV500 AT W10 AWD,1290000,50000,Diesel,16.0,2179.0,7,7
391,Maruti,Alto K10 LXI,150000,80000,Petrol,20.92,998.0,5,13
392,Hyundai,EON Sportz,219000,50000,Petrol,21.1,814.0,5,10
393,Tata,Tiago 1.2 Revotron XE,325000,100000,Petrol,23.84,1199.0,5,5
394,Maruti,Eeco Smiles 5 Seater AC,260000,120000,Petrol,15.1,1196.0,5,10
395,Jaguar,XE 2016-2019 2.0L Diesel Prestige,2625000,9000,Diesel,13.6,1999.0,5,6
396,Lexus,ES 300h,5150000,20000,Petrol,22.37,2487.0,5,4
398,Tata,Safari Storme EX,503000,110000,Diesel,14.1,2179.0,7,8
399,Volvo,XC40 D4 Inscription BSIV,3800000,20000,Diesel,18.0,1969.0,5,4
400,Toyota,Camry 2.5 Hybrid,2000000,68089,Petrol,19.16,2494.0,5,7
401,Maruti,Wagon R LXI,225000,58343,Petrol,21.79,998.0,5,10
402,Maruti,Baleno Alpha 1.3,740000,38817,Diesel,27.39,1248.0,5,5
403,Honda,Jazz VX,550000,56494,Petrol,18.2,1199.0,5,7
404,Toyota,Innova 2.5 VX (Diesel) 7 Seater,750000,79328,Diesel,12.99,2494.0,7,10
406,Toyota,Etios VX,625000,25538,Petrol,16.78,1496.0,5,6
407,Maruti,Swift AMT ZXI,600000,69779,Petrol,22.0,1197.0,5,5
408,Hyundai,Grand i10 1.2 CRDi Sportz,450000,56290,Diesel,24.0,1186.0,5,6
409,BMW,X4 M Sport X xDrive20d,5400000,7500,Diesel,16.78,1995.0,5,4
410,BMW,X4 M Sport X xDrive20d,5500000,8500,Diesel,16.78,1995.0,5,4
412,Skoda,Rapid 1.6 MPI AT Elegance,645000,11000,Petrol,14.3,1598.0,5,7
413,Volvo,V40 D3 R-Design,2475000,2000,Diesel,16.8,1984.0,5,5
414,Honda,Amaze S CVT Diesel BSIV,700000,40000,Diesel,23.8,1498.0,5,4
415,Hyundai,Creta 1.4 CRDi Base,950000,45000,Diesel,21.38,1396.0,5,6
416,Maruti,Alto LXi BSIII,160000,80000,Petrol,19.7,796.0,5,13
417,Hyundai,Xcent 1.1 CRDi S Option,409999,135000,Diesel,24.4,1120.0,5,8
418,Toyota,Innova 2.5 G (Diesel) 7 Seater,840000,120000,Diesel,12.99,2494.0,7,8
419,Toyota,Etios Liva Diesel,450000,67000,Diesel,23.59,1364.0,5,10
420,Maruti,Swift Dzire ZDI Plus,900000,50000,Diesel,28.4,1248.0,5,6
421,Toyota,Innova 2.5 V Diesel 7-seater,570000,134000,Diesel,12.8,2494.0,7,15
422,Nissan,Micra Diesel XV,254999,110000,Diesel,23.08,1461.0,5,12
423,Maruti,800 AC BSIII,130000,40000,Petrol,16.1,796.0,4,14
424,Maruti,Swift Dzire VDI,530000,120000,Diesel,23.4,1248.0,5,10
425,Volkswagen,olo 1.5 TDI Highline,520000,110000,Diesel,20.14,1498.0,5,8
426,Mahindra,Verito 1.5 D2 BSIII,229999,170000,Diesel,21.0,1461.0,5,12
427,Maruti,800 AC BSIII,81000,80000,Petrol,16.1,796.0,4,19
428,Maruti,Swift VDI Optional,600000,47000,Diesel,25.2,1248.0,5,7
429,Hyundai,Xcent 1.2 Kappa S Option,409999,93000,Petrol,19.1,1197.0,5,8
430,Maruti,800 Std,120000,70000,Petrol,16.1,796.0,4,13
431,Maruti,Celerio VXI,320000,50000,Petrol,23.1,998.0,5,9
432,Ford,Figo Diesel EXI,292000,70000,Diesel,20.0,1399.0,5,8
433,Tata,Safari DICOR 2.2 LX 4x2,390000,80000,Diesel,13.93,2179.0,7,11
434,Ford,Figo 1.2P Titanium Plus MT,550000,44000,Petrol,18.16,1196.0,5,7
435,Maruti,Celerio ZXI,385000,25000,Petrol,23.1,998.0,5,9
436,Hyundai,Creta 1.6 VTVT S,800000,25000,Petrol,15.29,1591.0,5,7
437,Maruti,Swift Dzire VXI 1.2,675000,10000,Petrol,21.21,1197.0,5,4
438,Tata,Hexa XT,1525000,50000,Diesel,17.6,2179.0,7,5
439,Ford,EcoSport 1.5 Diesel Titanium Plus BSIV,950000,30000,Diesel,23.0,1498.0,5,5
440,Hyundai,i20 Active 1.4 SX with AVN,610000,50000,Diesel,21.19,1396.0,5,8
441,Hyundai,i20 Asta 1.4 CRDi,525000,120000,Diesel,22.54,1396.0,5,11
443,Mahindra,Bolero 2011-2019 SLE,375000,80000,Diesel,15.96,2523.0,7,8
444,Nissan,Terrano XL Plus 85 PS,580000,90000,Diesel,20.45,1461.0,5,8
445,Maruti,Swift VXI Windsong Limited edition,434999,50000,Petrol,20.4,1197.0,5,8
446,Datsun,RediGO 1.0 S,350000,2136,Petrol,22.5,999.0,5,3
447,Toyota,Innova 2.5 G (Diesel) 7 Seater,730000,250000,Diesel,12.99,2494.0,7,11
448,Hyundai,i20 Magna 1.2,600000,35000,Petrol,18.6,1197.0,5,8
449,Toyota,Innova 2.5 VX (Diesel) 7 Seater,1050000,120000,Diesel,12.99,2494.0,7,8
450,Maruti,Baleno Alpha 1.3,735000,70000,Diesel,27.39,1248.0,5,6
451,Renault,Duster 110PS Diesel RxZ,1050000,18000,Diesel,19.6,1461.0,5,5
452,Chevrolet,Enjoy 1.3 TCDi LS 7,420000,110000,Diesel,18.2,1248.0,7,7
453,Maruti,SX4 S Cross 2015-2017 DDiS 200 Zeta,800000,60000,Diesel,23.65,1248.0,5,6
454,Toyota,Fortuner 4x2 AT,2000000,60000,Diesel,12.55,2982.0,7,8
455,Maruti,Swift Dzire VDI,600000,147000,Diesel,26.59,1248.0,5,7
456,Toyota,Fortuner 4x2 AT,1900000,130000,Diesel,12.55,2982.0,7,8
457,Chevrolet,Captiva LT,500000,99500,Diesel,11.5,1991.0,7,12
458,Tata,Indica Vista Aqua 1.4 TDI,200000,110000,Diesel,17.0,1405.0,5,12
459,Nissan,Micra Active XL Petrol,370000,35000,Petrol,19.49,1198.0,5,7
460,Hyundai,Verna Transform CRDi VGT SX ABS,260000,110000,Diesel,16.2,1493.0,5,13
461,Mahindra,KUV 100 mFALCON D75 K8,280000,100000,Diesel,25.32,1198.0,6,7
462,Maruti,Ertiga VXI,610000,21000,Petrol,16.02,1373.0,7,9
463,Ford,Fiesta Titanium 1.5 TDCi,300000,60000,Diesel,23.5,1498.0,5,10
464,Tata,Indigo CS LX DiCOR,140000,40000,Diesel,16.6,1405.0,5,13
465,Hyundai,i10 Magna 1.1L,229999,50000,Petrol,19.81,1086.0,5,15
466,Maruti,A-Star Vxi,200000,65000,Petrol,19.0,998.0,5,13
467,Maruti,Wagon R VXI BSIII,200000,80000,Petrol,18.9,998.0,5,12
468,Hyundai,Verna 1.6 CRDi S,560000,119000,Diesel,23.9,1582.0,5,8
469,Maruti,Ertiga SHVS VDI,750000,80000,Diesel,24.52,1248.0,7,7
470,Maruti,Swift VDI BSIV,585000,90000,Diesel,25.2,1248.0,5,6
471,Hyundai,Verna 1.6 VTVT S Option,760000,20000,Petrol,17.01,1591.0,5,7
472,Maruti,Swift VDI BSIV,430000,80000,Diesel,25.2,1248.0,5,9
473,Mahindra,KUV 100 D75 K6 Plus,480000,44665,Diesel,25.32,1198.0,6,3
474,Kia,Seltos HTE D,643000,10000,Diesel,20.8,1493.0,5,4
475,Hyundai,Xcent 1.2 VTVT S,500000,60000,Petrol,20.14,1197.0,5,5
476,Honda,Brio 1.2 S MT,425000,22000,Petrol,18.5,1198.0,5,7
477,Maruti,Alto 800 LXI,250000,25000,Petrol,22.74,796.0,5,9
478,Maruti,Celerio LDi,285000,70000,Diesel,27.62,793.0,5,7
479,Maruti,Swift Dzire VXi,160000,123000,Petrol,17.5,1298.0,5,15
480,Volkswagen,ento Diesel Trendline,250000,70000,Diesel,20.54,1598.0,5,12
481,Chevrolet,Beat LS,170000,70000,Petrol,18.6,1199.0,5,10
482,Toyota,Etios Liva GD,409999,45000,Diesel,23.59,1364.0,5,10
483,Hyundai,Grand i10 AT Asta,400000,40000,Petrol,18.9,1197.0,5,8
484,Maruti,Swift Dzire VDI,700000,30000,Diesel,28.4,1248.0,5,4
485,Honda,Civic 1.8 V AT,350000,90000,Petrol,12.9,1799.0,5,16
486,Maruti,Ertiga BSIV VXI,660000,34000,Petrol,17.5,1373.0,7,7
487,Maruti,Alto 800 VXI,268000,25000,Petrol,24.7,796.0,5,6
488,Maruti,Alto 800 VXI,270000,50000,Petrol,22.74,796.0,5,7
489,Chevrolet,Beat Diesel LT,300000,50000,Diesel,25.44,936.0,5,10
490,Tata,Tiago 1.2 Revotron XZ,450000,90000,Petrol,23.84,1199.0,5,6
491,Chevrolet,Beat Diesel LT,220000,70000,Diesel,25.44,936.0,5,11
492,Tata,New Safari DICOR 2.2 VX 4x2,250000,146000,Diesel,13.93,2179.0,7,14
493,Ford,Figo Petrol EXI,300000,85000,Petrol,15.6,1196.0,5,11
494,Tata,Indica V2 2001-2011 DLS BSIII,88000,201850,Diesel,17.88,1396.0,5,14
495,Maruti,Swift Dzire VDI,561000,30000,Diesel,26.59,1248.0,5,7
496,Maruti,Swift Dzire VDI,755000,15000,Diesel,28.4,1248.0,5,5
497,Datsun,RediGO S,235000,25000,Petrol,22.7,799.0,5,6
498,Maruti,Alto K10 LXI,165000,90000,Petrol,20.92,998.0,5,12
499,Maruti,Swift Dzire LDi,190000,80000,Diesel,19.3,1248.0,5,15
500,Tata,Indica V2 DLX BSII,110000,50000,Diesel,17.2,1396.0,5,12
501,Mahindra,Bolero 2011-2019 DI 4WD NON AC,320000,80000,Diesel,13.6,2523.0,8,11
502,Hyundai,i20 Asta Option 1.2,540000,38000,Petrol,18.6,1197.0,5,7
503,Hyundai,EON Era Plus,180000,60000,Petrol,21.1,814.0,5,10
504,Maruti,Eeco 7 Seater Standard BSIV,270000,100000,Petrol,15.37,1196.0,7,7
505,Maruti,Swift Dzire 1.2 Vxi BSIV,450000,30000,Petrol,17.5,1197.0,5,11
506,Maruti,Swift Dzire VXI,450000,30000,Petrol,19.1,1197.0,5,9
507,Chevrolet,Beat LT,200000,50000,Petrol,18.6,1199.0,5,8
508,Tata,Tiago 1.2 Revotron XZ,425000,42000,Petrol,23.84,1199.0,5,6
509,Chevrolet,Sail 1.2 LS ABS,400000,30000,Petrol,18.2,1199.0,5,7
510,Maruti,Alto LXi BSIII,125000,60000,Petrol,19.7,796.0,5,14
511,Jeep,Compass 2.0 Longitude Option BSIV,1600000,14000,Diesel,17.1,1956.0,5,5
512,Honda,City i VTEC VX,900000,22000,Petrol,17.4,1497.0,5,8
513,Volkswagen,ento Diesel Highline,450000,90000,Diesel,20.54,1598.0,5,11
514,Maruti,Alto K10 2010-2014 VXI,210000,46000,Petrol,20.92,998.0,5,12
515,Hyundai,i20 1.2 Asta Option,801000,20000,Petrol,18.6,1197.0,5,5
516,Tata,Venture EX 7 Str Captain Seats,317000,15000,Diesel,15.42,1405.0,7,9
517,Maruti,Ertiga VXI,600000,40000,Petrol,16.02,1373.0,7,8
518,Hyundai,i20 Magna,330000,30000,Petrol,18.5,1197.0,5,9
519,Hyundai,EON Magna Plus,320000,15000,Petrol,21.1,814.0,5,6
520,Hyundai,Getz GLX,120000,110000,Petrol,15.3,1341.0,5,16
521,Maruti,Alto LXi,130000,70000,Petrol,19.7,796.0,5,14
522,Chevrolet,Sail 1.2 LS,220000,80000,Petrol,18.2,1199.0,5,8
523,Tata,Zest Revotron 1.2T XM,340000,110000,Petrol,17.57,1193.0,5,8
524,Ford,Classic 1.4 Duratorq CLXI,200000,70000,Diesel,19.68,1399.0,5,10
525,Maruti,Alto LXI,140000,50000,Petrol,19.7,796.0,5,21
526,Toyota,Innova 2.5 G (Diesel) 8 Seater,1000000,190000,Diesel,12.99,2494.0,8,10
527,Mahindra,Bolero SLX,495000,100000,Diesel,13.6,2523.0,7,13
528,Maruti,Alto 800 LXI,236000,60000,Petrol,22.74,796.0,5,8
529,Maruti,Wagon R VXI BS IV,390000,40000,Petrol,20.51,998.0,5,8
530,Maruti,Swift Dzire VDi,275000,90000,Diesel,19.3,1248.0,5,14
531,Tata,Safari Storme EX,503000,110000,Diesel,14.1,2179.0,7,8
532,Maruti,Vitara Brezza ZDi Plus Dual Tone,775000,32000,Diesel,24.3,1248.0,5,6
533,Toyota,Innova Crysta 2.8 ZX AT BSIV,1800000,30000,Diesel,11.36,2755.0,7,7
534,Hyundai,Creta 1.6 CRDi SX,850000,58000,Diesel,19.67,1582.0,5,7
535,Maruti,Vitara Brezza VDi,750000,5000,Diesel,24.3,1248.0,5,5
536,Hyundai,i20 1.2 Spotz,570000,25000,Petrol,18.6,1197.0,5,5
537,Hyundai,Grand i10 1.2 Kappa Sportz BSIV,580000,32000,Petrol,18.9,1197.0,5,5
538,Honda,Jazz 1.2 VX i VTEC,484999,30000,Petrol,18.7,1199.0,5,7
539,Honda,BR-V i-VTEC S MT,700000,43000,Petrol,15.4,1497.0,7,6
540,Hyundai,Verna S,415000,60000,Petrol,17.7,1497.0,5,11
541,Nissan,Micra XV CVT,325000,50000,Petrol,19.34,1198.0,5,8
542,Ford,Figo Aspire 1.2 Ti-VCT Trend,550000,14200,Petrol,18.16,1196.0,5,5
543,Hyundai,EON Sportz,300000,10000,Petrol,21.1,814.0,5,6
544,Datsun,RediGO T Option,217000,25000,Petrol,22.7,799.0,5,5
545,Ford,Freestyle Titanium Petrol BSIV,700000,19100,Petrol,19.0,1194.0,5,5
546,Hyundai,Santro Sportz AMT BSIV,466000,25000,Petrol,20.3,1086.0,5,4
547,Ford,EcoSport 1.5 Diesel Trend BSIV,484999,54000,Diesel,23.0,1498.0,5,9
548,Nissan,Sunny XL D,670000,35000,Diesel,22.71,1461.0,5,5
549,Hyundai,Grand i10 1.2 Kappa Sportz BSIV,500000,20000,Petrol,18.9,1197.0,5,5
550,Maruti,SX4 S Cross 2015-2017 DDiS 200 Zeta,675000,52000,Diesel,23.65,1248.0,5,7
551,Hyundai,i20 1.4 CRDi Asta,220000,120000,Diesel,23.0,1396.0,5,12
552,Jeep,Compass 2.0 Limited,1650000,50000,Diesel,17.1,1956.0,5,6
553,Maruti,Ertiga ZDI,630000,120000,Diesel,20.77,1248.0,7,10
554,Tata,Manza Aura Quadrajet,250000,90000,Diesel,18.8,1248.0,5,13
555,Maruti,Wagon R LXI,120000,120000,Petrol,18.9,998.0,5,19
556,Skoda,Rapid 1.5 TDI Elegance,300000,101500,Diesel,21.14,1498.0,5,8
557,Hyundai,Verna 1.6 CRDi EX AT,525000,75000,Diesel,22.32,1582.0,5,10
558,Mahindra,Scorpio 1.99 S10,1100000,100000,Diesel,15.4,1997.0,7,7
559,Renault,Duster 110PS Diesel RxZ,480000,55735,Diesel,19.01,1461.0,5,11
560,Mahindra,XUV500 W4,605000,80000,Diesel,15.1,2179.0,7,9
561,Maruti,Alto 800 LXI Optional,250000,50000,Petrol,24.7,796.0,5,7
562,Ford,Figo Diesel Celebration Edition,245000,70000,Diesel,20.0,1399.0,5,10
563,Hyundai,i10 Magna 1.2 iTech SE,210000,76000,Petrol,20.36,1197.0,5,11
564,Maruti,Swift Dzire VXI 1.2,730000,1500,Petrol,21.21,1197.0,5,3
565,Mahindra,Bolero 2011-2019 SLX,500000,76000,Diesel,15.96,2523.0,7,11
566,Maruti,Wagon R VXI Optional,400000,40000,Petrol,20.51,998.0,5,8
567,Hyundai,EON Magna Plus,280000,60000,Petrol,21.1,814.0,5,8
568,Toyota,Innova 2.5 G (Diesel) 8 Seater BS IV,561000,170000,Diesel,12.8,2494.0,8,14
569,Mitsubishi,Pajero Sport 4X4,950000,181491,Diesel,13.5,2477.0,7,10
570,Chevrolet,Beat Diesel LS,375000,53319,Diesel,25.44,936.0,5,7
571,Volkswagen,meo 1.5 TDI Comfortline,700000,40906,Diesel,21.66,1498.0,5,6
572,Toyota,Etios VX,375000,31711,Petrol,17.6,1496.0,5,11
573,Hyundai,EON Era Plus,270000,43755,Petrol,21.1,814.0,5,11
574,Renault,KWID RXT,300000,66693,Petrol,25.17,799.0,5,7
575,Maruti,Zen Estilo VXI BSIV,225000,59549,Petrol,19.0,998.0,5,13
576,Toyota,Innova 2.5 G (Diesel) 8 Seater,1350000,94385,Diesel,12.99,2494.0,8,8
577,Maruti,Zen Estilo LXI BSIII,200000,73730,Petrol,18.2,998.0,5,13
578,Hyundai,Verna 1.6 SX,400000,221889,Diesel,22.32,1582.0,5,12
579,Honda,Amaze VX i-DTEC,500000,116104,Diesel,25.8,1498.0,5,10
580,Maruti,Swift VXI BSIV,500000,150546,Petrol,22.0,1197.0,5,8
581,Toyota,Fortuner 2.8 2WD MT,1500000,148120,Diesel,14.24,2755.0,7,10
582,Ford,Ecosport 1.5 Ti VCT MT Titanium,555000,20000,Petrol,15.8,1499.0,5,8
583,Hyundai,Grand i10 1.2 Kappa Magna AT,580000,30000,Petrol,18.9,1197.0,5,5
584,Tata,Aria Pride,337000,142000,Diesel,13.7,2179.0,7,12
585,Tata,Sumo CX 10 Str BSIV,175000,20000,Diesel,12.2,1948.0,10,12
586,Tata,Manza Aura Plus Quadrajet,180000,120000,Diesel,18.8,1248.0,5,14
587,Hyundai,i10 Sportz 1.1L,200000,80000,Petrol,19.81,1086.0,5,12
588,Tata,Indigo CS LX (TDI) BS-III,260000,60000,Diesel,19.09,1405.0,5,7
589,Renault,KWID 1.0 RXT Optional,350000,25000,Petrol,23.01,999.0,5,7
590,Mahindra,Bolero SLX,409999,50000,Diesel,13.6,2523.0,7,12
591,Mahindra,TUV 300 T8,655000,126000,Diesel,18.49,1493.0,7,6
592,Maruti,Swift Dzire LDI,370000,170000,Diesel,26.59,1248.0,5,8
593,Maruti,Alto 800 LXI,200000,24000,Petrol,22.74,796.0,5,10
594,Maruti,Ertiga SHVS ZDI,800000,100000,Diesel,24.52,1248.0,7,6
595,Tata,Tiago NRG Petrol,550000,10000,Petrol,24.0,1199.0,5,4
596,Ford,Figo Diesel ZXI,300000,70000,Diesel,20.0,1399.0,5,11
597,Maruti,Omni E MPI STD BS IV,220000,40000,Petrol,16.8,796.0,8,6
598,Maruti,Wagon R LXI BS IV,196000,110000,Petrol,18.9,998.0,5,12
599,Hyundai,i10 Era,135000,80000,Petrol,19.81,1086.0,5,15
600,Tata,Bolt Revotron XE,299000,16500,Petrol,17.57,1193.0,5,8
601,Maruti,Alto K10 VXI,300000,30000,Petrol,23.95,998.0,5,6
602,Maruti,Ertiga SHVS VDI,720000,80000,Diesel,24.52,1248.0,7,6
603,Tata,Safari Storme EX,650000,50000,Diesel,14.1,2179.0,7,7
604,Maruti,Alto K10 VXI,300000,25000,Petrol,23.95,998.0,5,7
605,Hyundai,Grand i10 1.2 CRDi Asta,750000,20000,Diesel,24.0,1186.0,5,4
606,Renault,KWID RXT,260000,60000,Petrol,25.17,799.0,5,7
607,Maruti,Swift VDI,300000,70000,Diesel,22.9,1248.0,5,12
608,Mahindra,Bolero 2011-2019 SLX,600000,50000,Diesel,15.96,2523.0,7,9
609,Honda,Accord V6 AT,275000,100000,Petrol,9.0,2997.0,5,19
610,Maruti,Alto K10 VXI,250000,52000,Petrol,23.95,998.0,5,8
611,Maruti,Swift Dzire VDI,420000,80000,Diesel,23.4,1248.0,5,9
612,Hyundai,EON Era Plus,235000,50000,Petrol,21.1,814.0,5,8
613,Mahindra,Scorpio S10 7 Seater,1100000,60000,Diesel,15.4,2179.0,7,7
614,Maruti,Alto K10 VXI,360000,25000,Petrol,23.95,998.0,5,4
615,Hyundai,Grand i10 CRDi Asta,380000,50000,Diesel,24.0,1120.0,5,9
616,Ford,EcoSport 1.5 TDCi Titanium BSIV,650000,125000,Diesel,22.77,1498.0,5,7
617,Maruti,Wagon R VXI Optional,350000,80000,Petrol,20.51,998.0,5,7
618,Mahindra,Bolero 2011-2019 DI - AC BS III,700000,70000,Diesel,15.96,2523.0,9,6
619,Hyundai,i20 Asta (o) 1.4 CRDi (Diesel),270000,90000,Diesel,23.0,1396.0,5,13
620,Tata,Bolt Quadrajet XE,450000,50000,Diesel,22.95,1248.0,5,6
621,Mahindra,Thar CRDe,630000,101000,Diesel,16.55,2498.0,6,7
622,Mahindra,Xylo E4 BS IV,229999,168000,Diesel,14.0,2498.0,7,13
623,Mahindra,Xylo E4 BS IV,229999,168000,Diesel,14.0,2498.0,7,13
624,Maruti,Wagon R VXI BS IV,270000,40000,Petrol,18.9,998.0,5,12
625,Tata,Indica Vista Aura Safire Anniversary Edition,135000,28900,Petrol,0.0,1172.0,5,14
626,Maruti,Wagon R VXI BS IV,275000,20000,Petrol,18.9,998.0,5,11
630,Tata,Safari Storme EX,503000,110000,Diesel,14.1,2179.0,7,8
631,Volvo,XC40 D4 Inscription BSIV,3800000,20000,Diesel,18.0,1969.0,5,4
633,Maruti,Wagon R LXI,225000,58343,Petrol,21.79,998.0,5,10
635,Honda,Jazz VX,550000,56494,Petrol,18.2,1199.0,5,7
636,Toyota,Innova 2.5 VX (Diesel) 7 Seater,750000,79328,Diesel,12.99,2494.0,7,10
637,Maruti,Swift AMT VVT VXI,650000,5621,Petrol,22.0,1197.0,5,4
640,Hyundai,Grand i10 1.2 CRDi Sportz,450000,56290,Diesel,24.0,1186.0,5,6
641,BMW,X4 M Sport X xDrive20d,5400000,7500,Diesel,16.78,1995.0,5,4
